time, prompt_length, target_length, cached_length
0, 1, 1, 237
0, 1, 1, 4089
0, 1, 1, 1797
0, 1, 1, 399
0, 1, 1, 387
0, 1, 1, 1084
0, 1, 1, 996
0, 1, 1, 374
0, 1, 1, 1238
0, 1, 1, 1046
0, 1, 1, 396
0, 1, 1, 4081
0, 1, 1, 410
0, 1, 1, 432
0, 1, 1, 394
0, 1, 1, 1040
0, 1, 1, 1315
0, 1, 1, 419
0, 1, 1, 428
0, 1, 1, 181
0, 1, 1, 398
0, 1, 1, 1684
0, 1, 1, 4075
0, 1, 1, 418
0, 1, 1, 4078
0, 1, 1, 1036
0, 1, 1, 402
0, 1, 1, 377
0, 1, 1, 1328
0, 1, 1, 400
0, 1, 1, 414
0, 1, 1, 1046
0, 1, 1, 181
0, 1, 1, 1074
0, 1, 1, 4081
0, 1, 1, 380
0, 1, 1, 382
0, 1, 1, 1086
0, 1, 1, 2798
0, 1, 1, 4085
0, 1, 1, 373
0, 1, 1, 1048
0, 1, 1, 424
0, 1, 1, 398
0, 1, 1, 1727
0, 1, 1, 1085
0, 1, 1, 371
0, 1, 1, 4100
0, 1, 1, 1080
0, 1, 1, 380
0, 1, 1, 2301
0, 1, 1, 391
0, 1, 1, 386
0, 1, 1, 394
0, 1, 1, 1999
0, 1, 1, 2361
0, 1, 1, 4097
0, 1, 1, 4084
0, 1, 1, 386
0, 1, 1, 378
0, 1, 1, 1046
0, 1, 1, 406
0, 1, 1, 414
0, 1, 1, 4081
0, 1, 1, 1039
0, 1, 1, 404
0, 1, 1, 181
0, 1, 1, 4076
0, 1, 1, 4088
0, 1, 1, 2303
0, 1, 1, 405
0, 1, 1, 406
0, 1, 1, 369
0, 1, 1, 1017
0, 1, 1, 4084
0, 1, 1, 394
0, 1, 1, 408
0, 1, 1, 5305
0, 1, 1, 400
0, 1, 1, 169
0, 1, 1, 422
0, 1, 1, 1313
0, 1, 1, 4078
0, 1, 1, 833
0, 1, 1, 4075
0, 1, 1, 4075
0, 1, 1, 410
0, 1, 1, 1099
0, 1, 1, 4080
0, 1, 1, 385
0, 1, 1, 1122
0, 1, 1, 4079
0, 1, 1, 1988
0, 1, 1, 373
0, 1, 1, 409
0, 1, 1, 373
0, 1, 1, 181
0, 1, 1, 375
0, 1, 1, 461
0, 1, 1, 4082
0, 1, 1, 237
0, 1, 1, 4084
0, 1, 1, 373
0, 1, 1, 372
0, 1, 1, 373
0, 1, 1, 4178
0, 1, 1, 1314
0, 1, 1, 2695
0, 1, 1, 413
0, 1, 1, 1131
0, 1, 1, 403
0, 1, 1, 3922
0, 1, 1, 4089
0, 1, 1, 1044
0, 1, 1, 4089
0, 1, 1, 4087
0, 1, 1, 1043
0, 1, 1, 386
0, 1, 1, 1834
0, 1, 1, 1312
0, 1, 1, 1095
0, 1, 1, 4083
0, 1, 1, 4088
0, 1, 1, 1008
0, 1, 1, 4086
0, 1, 1, 397
0, 1, 1, 4084
0, 1, 1, 407
