time, prompt_length, target_length, cached_length
0, 1, 1, 425
0, 1, 1, 258
0, 1, 1, 195
0, 1, 1, 315
0, 1, 1, 192
0, 1, 1, 2559
0, 1, 1, 1043
0, 1, 1, 2586
0, 1, 1, 1349
0, 1, 1, 405
0, 1, 1, 721
0, 1, 1, 1360
0, 1, 1, 198
0, 1, 1, 1488
0, 1, 1, 299
0, 1, 1, 426
0, 1, 1, 799
0, 1, 1, 182
0, 1, 1, 304
0, 1, 1, 1929
0, 1, 1, 2093
0, 1, 1, 893
0, 1, 1, 2361
0, 1, 1, 480
0, 1, 1, 182
0, 1, 1, 341
0, 1, 1, 2031
0, 1, 1, 1037
0, 1, 1, 1821
0, 1, 1, 1680
0, 1, 1, 2348
0, 1, 1, 2399
0, 1, 1, 2800
0, 1, 1, 1245
0, 1, 1, 1164
0, 1, 1, 217
0, 1, 1, 560
0, 1, 1, 2206
0, 1, 1, 2334
0, 1, 1, 474
0, 1, 1, 2200
0, 1, 1, 430
0, 1, 1, 180
0, 1, 1, 337
0, 1, 1, 452
0, 1, 1, 188
0, 1, 1, 343
0, 1, 1, 1014
0, 1, 1, 259
0, 1, 1, 288
0, 1, 1, 455
0, 1, 1, 1674
0, 1, 1, 2053
0, 1, 1, 286
0, 1, 1, 494
0, 1, 1, 1151
0, 1, 1, 645
0, 1, 1, 2563
0, 1, 1, 603
0, 1, 1, 571
0, 1, 1, 677
0, 1, 1, 931
0, 1, 1, 2854
0, 1, 1, 1293
0, 1, 1, 691
0, 1, 1, 456
0, 1, 1, 2720
0, 1, 1, 305
0, 1, 1, 324
0, 1, 1, 910
0, 1, 1, 1186
0, 1, 1, 296
0, 1, 1, 238
0, 1, 1, 1454
0, 1, 1, 467
0, 1, 1, 299
0, 1, 1, 1760
0, 1, 1, 902
0, 1, 1, 1768
0, 1, 1, 195
0, 1, 1, 1077
0, 1, 1, 859
0, 1, 1, 355
0, 1, 1, 522
0, 1, 1, 741
0, 1, 1, 404
0, 1, 1, 195
0, 1, 1, 201
0, 1, 1, 1832
0, 1, 1, 1017
0, 1, 1, 827
0, 1, 1, 768
0, 1, 1, 1066
0, 1, 1, 758
0, 1, 1, 655
0, 1, 1, 2735
0, 1, 1, 938
0, 1, 1, 694
0, 1, 1, 546
0, 1, 1, 2344
0, 1, 1, 783
0, 1, 1, 1070
0, 1, 1, 677
0, 1, 1, 1187
0, 1, 1, 613
0, 1, 1, 1223
0, 1, 1, 233
0, 1, 1, 1769
0, 1, 1, 897
0, 1, 1, 527
0, 1, 1, 1430
0, 1, 1, 396
0, 1, 1, 574
0, 1, 1, 1574
0, 1, 1, 767
0, 1, 1, 423
0, 1, 1, 1215
0, 1, 1, 750
0, 1, 1, 2721
0, 1, 1, 1017
0, 1, 1, 1497
0, 1, 1, 1060
0, 1, 1, 371
0, 1, 1, 1893
0, 1, 1, 1014
0, 1, 1, 1914
0, 1, 1, 2570
0, 1, 1, 634
